"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label"
"27","Min2","~~","Min2","0.575","0.041","0.000","[0.494, 0.656]","0.575***","0.872","0.043","0.000","[0.787, 0.957]","0.872***","1.000","Mild","Variances.Min2.Mild"
"28","Min3","~~","Min3","0.558","0.039","0.000","[0.481, 0.635]","0.558***","0.885","0.041","0.000","[0.805, 0.965]","0.885***","1.000","Mild","Variances.Min3.Mild"
"29","Per1","~~","Per1","0.531","0.036","0.000","[0.461, 0.602]","0.531***","0.749","0.040","0.000","[0.671, 0.826]","0.749***","1.000","Mild","Variances.Per1.Mild"
"30","Per2","~~","Per2","0.306","0.027","0.000","[0.254, 0.359]","0.306***","0.522","0.045","0.000","[0.434, 0.610]","0.522***","1.000","Mild","Variances.Per2.Mild"
"31","Per3","~~","Per3","0.378","0.028","0.000","[0.323, 0.433]","0.378***","0.644","0.043","0.000","[0.560, 0.728]","0.644***","1.000","Mild","Variances.Per3.Mild"
"32","Per4","~~","Per4","0.493","0.032","0.000","[0.431, 0.556]","0.493***","0.836","0.035","0.000","[0.768, 0.904]","0.836***","1.000","Mild","Variances.Per4.Mild"
"33","Per5","~~","Per5","0.566","0.036","0.000","[0.495, 0.637]","0.566***","0.854","0.033","0.000","[0.789, 0.919]","0.854***","1.000","Mild","Variances.Per5.Mild"
"34","Oth1","~~","Oth1","0.431","0.035","0.000","[0.363, 0.499]","0.431***","0.584","0.045","0.000","[0.497, 0.671]","0.584***","1.000","Mild","Variances.Oth1.Mild"
"35","Oth2","~~","Oth2","0.484","0.034","0.000","[0.417, 0.551]","0.484***","0.706","0.042","0.000","[0.624, 0.787]","0.706***","1.000","Mild","Variances.Oth2.Mild"
"36","Oth3","~~","Oth3","0.456","0.033","0.000","[0.392, 0.520]","0.456***","0.689","0.042","0.000","[0.606, 0.771]","0.689***","1.000","Mild","Variances.Oth3.Mild"
"37","Oth4","~~","Oth4","0.640","0.042","0.000","[0.558, 0.721]","0.640***","0.826","0.036","0.000","[0.757, 0.896]","0.826***","1.000","Mild","Variances.Oth4.Mild"
"38","Oth5","~~","Oth5","0.509","0.033","0.000","[0.446, 0.573]","0.509***","0.864","0.033","0.000","[0.800, 0.928]","0.864***","1.000","Mild","Variances.Oth5.Mild"
"39","Oth6","~~","Oth6","0.553","0.035","0.000","[0.483, 0.622]","0.553***","0.858","0.033","0.000","[0.793, 0.923]","0.858***","1.000","Mild","Variances.Oth6.Mild"
"40","Oth7","~~","Oth7","0.561","0.035","0.000","[0.492, 0.630]","0.561***","0.901","0.029","0.000","[0.845, 0.957]","0.901***","1.000","Mild","Variances.Oth7.Mild"
"41","Helplessness","~~","Helplessness","0.189","0.031","0.000","[0.129, 0.249]","0.189***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","Mild","Variances.Helplessness.Mild"
"42","Minimization","~~","Minimization","0.280","0.074","0.000","[0.135, 0.425]","0.280***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","Mild","Variances.Minimization.Mild"
"43","DenialPersonhood","~~","DenialPersonhood","0.178","0.033","0.000","[0.114, 0.243]","0.178***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","Mild","Variances.DenialPersonhood.Mild"
"44","Otherization","~~","Otherization","0.307","0.043","0.000","[0.223, 0.391]","0.307***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","Mild","Variances.Otherization.Mild"
"45","Helplessness","~~","Minimization","0.057","0.018","0.002","[0.022, 0.093]","0.057**","0.249","0.075","0.001","[0.103, 0.395]","0.249***","1.000","Mild","Helplessness.WITH.Minimization.Mild"
"46","Helplessness","~~","DenialPersonhood","0.128","0.019","0.000","[0.092, 0.165]","0.128***","0.699","0.046","0.000","[0.609, 0.789]","0.699***","1.000","Mild","Helplessness.WITH.DenialPersonhood.Mild"
"47","Helplessness","~~","Otherization","0.153","0.021","0.000","[0.111, 0.194]","0.153***","0.634","0.049","0.000","[0.539, 0.729]","0.634***","1.000","Mild","Helplessness.WITH.Otherization.Mild"
"48","Minimization","~~","DenialPersonhood","0.088","0.019","0.000","[0.051, 0.126]","0.088***","0.396","0.073","0.000","[0.254, 0.538]","0.396***","1.000","Mild","Minimization.WITH.DenialPersonhood.Mild"
"49","Minimization","~~","Otherization","0.098","0.023","0.000","[0.052, 0.144]","0.098***","0.335","0.073","0.000","[0.192, 0.477]","0.335***","1.000","Mild","Minimization.WITH.Otherization.Mild"
"50","DenialPersonhood","~~","Otherization","0.165","0.023","0.000","[0.121, 0.210]","0.165***","0.705","0.044","0.000","[0.619, 0.791]","0.705***","1.000","Mild","DenialPersonhood.WITH.Otherization.Mild"
"51","Help1","~1","","1.978","0.032","0.000","[1.915, 2.041]","1.978***","2.614","0.090","0.000","[2.438, 2.790]","2.614***","1.000","Mild","Means.Help1.Mild"
"52","Help2","~1","","2.400","0.034","0.000","[2.333, 2.466]","2.400***","3.005","0.100","0.000","[2.808, 3.201]","3.005***","1.000","Mild","Means.Help2.Mild"
"53","Help3","~1","","2.137","0.036","0.000","[2.066, 2.207]","2.137***","2.537","0.088","0.000","[2.365, 2.709]","2.537***","1.000","Mild","Means.Help3.Mild"
"54","Help4","~1","","2.226","0.035","0.000","[2.157, 2.295]","2.226***","2.695","0.092","0.000","[2.515, 2.875]","2.695***","1.000","Mild","Means.Help4.Mild"
"55","Help5","~1","","2.020","0.035","0.000","[1.951, 2.089]","2.020***","2.456","0.086","0.000","[2.288, 2.624]","2.456***","1.000","Mild","Means.Help5.Mild"
"56","Min1","~1","","2.401","0.035","0.000","[2.332, 2.471]","2.401***","2.900","0.097","0.000","[2.709, 3.091]","2.900***","1.000","Mild","Means.Min1.Mild"
"57","Min2","~1","","2.343","0.035","0.000","[2.275, 2.411]","2.343***","2.885","0.097","0.000","[2.695, 3.075]","2.885***","1.000","Mild","Means.Min2.Mild"
"58","Min3","~1","","2.631","0.034","0.000","[2.565, 2.698]","2.631***","3.314","0.109","0.000","[3.100, 3.527]","3.314***","1.000","Mild","Means.Min3.Mild"
"59","Per1","~1","","2.086","0.036","0.000","[2.015, 2.156]","2.086***","2.476","0.086","0.000","[2.307, 2.644]","2.476***","1.000","Mild","Means.Per1.Mild"
"60","Per2","~1","","2.109","0.033","0.000","[2.045, 2.174]","2.109***","2.754","0.094","0.000","[2.571, 2.938]","2.754***","1.000","Mild","Means.Per2.Mild"
"61","Per3","~1","","2.553","0.033","0.000","[2.489, 2.617]","2.553***","3.333","0.109","0.000","[3.119, 3.548]","3.333***","1.000","Mild","Means.Per3.Mild"
"62","Per4","~1","","2.381","0.033","0.000","[2.317, 2.446]","2.381***","3.100","0.103","0.000","[2.899, 3.302]","3.100***","1.000","Mild","Means.Per4.Mild"
"63","Per5","~1","","2.148","0.035","0.000","[2.080, 2.216]","2.148***","2.639","0.090","0.000","[2.462, 2.816]","2.639***","1.000","Mild","Means.Per5.Mild"
"64","Oth1","~1","","2.673","0.037","0.000","[2.601, 2.745]","2.673***","3.112","0.103","0.000","[2.909, 3.314]","3.112***","1.000","Mild","Means.Oth1.Mild"
"65","Oth2","~1","","2.628","0.035","0.000","[2.558, 2.697]","2.628***","3.172","0.105","0.000","[2.966, 3.378]","3.172***","1.000","Mild","Means.Oth2.Mild"
"66","Oth3","~1","","2.117","0.035","0.000","[2.049, 2.185]","2.117***","2.603","0.089","0.000","[2.427, 2.778]","2.603***","1.000","Mild","Means.Oth3.Mild"
"67","Oth4","~1","","2.407","0.038","0.000","[2.333, 2.481]","2.407***","2.736","0.093","0.000","[2.553, 2.918]","2.736***","1.000","Mild","Means.Oth4.Mild"
"68","Oth5","~1","","2.489","0.033","0.000","[2.425, 2.553]","2.489***","3.242","0.107","0.000","[3.033, 3.452]","3.242***","1.000","Mild","Means.Oth5.Mild"
"69","Oth6","~1","","2.620","0.034","0.000","[2.553, 2.688]","2.620***","3.265","0.107","0.000","[3.054, 3.475]","3.265***","1.000","Mild","Means.Oth6.Mild"
"70","Oth7","~1","","2.104","0.034","0.000","[2.038, 2.170]","2.104***","2.667","0.091","0.000","[2.488, 2.846]","2.667***","1.000","Mild","Means.Oth7.Mild"
"71","Helplessness","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","Mild","Means.Helplessness.Mild"
"72","Minimization","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","Mild","Means.Minimization.Mild"
"73","DenialPersonhood","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","Mild","Means.DenialPersonhood.Mild"
"74","Otherization","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","Mild","Means.Otherization.Mild"
"75","Helplessness","=~","Help1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.408","0.061","0.000","[0.288, 0.528]","0.408***","2.000","Severe","Helplessness.BY.Help1.Severe"
"76","Helplessness","=~","Help2","1.454","0.285","0.000","[0.895, 2.014]","1.454***","0.553","0.055","0.000","[0.445, 0.660]","0.553***","2.000","Severe","Helplessness.BY.Help2.Severe"
"77","Helplessness","=~","Help3","1.448","0.290","0.000","[0.881, 2.016]","1.448***","0.527","0.056","0.000","[0.418, 0.637]","0.527***","2.000","Severe","Helplessness.BY.Help3.Severe"
"78","Helplessness","=~","Help4","1.313","0.262","0.000","[0.799, 1.826]","1.313***","0.529","0.056","0.000","[0.419, 0.638]","0.529***","2.000","Severe","Helplessness.BY.Help4.Severe"
"79","Helplessness","=~","Help5","1.741","0.325","0.000","[1.103, 2.378]","1.741***","0.642","0.051","0.000","[0.542, 0.742]","0.642***","2.000","Severe","Helplessness.BY.Help5.Severe"
"80","Minimization","=~","Min1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.407","0.078","0.000","[0.254, 0.560]","0.407***","2.000","Severe","Minimization.BY.Min1.Severe"
"81","Minimization","=~","Min2","1.151","0.317","0.000","[0.530, 1.772]","1.151***","0.472","0.079","0.000","[0.317, 0.626]","0.472***","2.000","Severe","Minimization.BY.Min2.Severe"
"82","Minimization","=~","Min3","1.331","0.362","0.000","[0.621, 2.041]","1.331***","0.527","0.081","0.000","[0.368, 0.686]","0.527***","2.000","Severe","Minimization.BY.Min3.Severe"
"83","DenialPersonhood","=~","Per1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.558","0.055","0.000","[0.450, 0.667]","0.558***","2.000","Severe","DenialPersonhood.BY.Per1.Severe"
"84","DenialPersonhood","=~","Per2","0.895","0.145","0.000","[0.611, 1.179]","0.895***","0.544","0.056","0.000","[0.434, 0.654]","0.544***","2.000","Severe","DenialPersonhood.BY.Per2.Severe"
"85","DenialPersonhood","=~","Per3","1.163","0.171","0.000","[0.828, 1.499]","1.163***","0.687","0.051","0.000","[0.587, 0.787]","0.687***","2.000","Severe","DenialPersonhood.BY.Per3.Severe"
"86","DenialPersonhood","=~","Per4","0.653","0.130","0.000","[0.399, 0.907]","0.653***","0.403","0.062","0.000","[0.282, 0.525]","0.403***","2.000","Severe","DenialPersonhood.BY.Per4.Severe"
"87","DenialPersonhood","=~","Per5","0.647","0.144","0.000","[0.365, 0.930]","0.647***","0.349","0.064","0.000","[0.223, 0.474]","0.349***","2.000","Severe","DenialPersonhood.BY.Per5.Severe"
"88","Otherization","=~","Oth1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.621","0.049","0.000","[0.526, 0.717]","0.621***","2.000","Severe","Otherization.BY.Oth1.Severe"
"89","Otherization","=~","Oth2","0.823","0.114","0.000","[0.599, 1.047]","0.823***","0.578","0.051","0.000","[0.478, 0.678]","0.578***","2.000","Severe","Otherization.BY.Oth2.Severe"
"90","Otherization","=~","Oth3","0.807","0.119","0.000","[0.575, 1.039]","0.807***","0.534","0.053","0.000","[0.429, 0.639]","0.534***","2.000","Severe","Otherization.BY.Oth3.Severe"
"91","Otherization","=~","Oth4","0.838","0.127","0.000","[0.590, 1.086]","0.838***","0.514","0.054","0.000","[0.407, 0.620]","0.514***","2.000","Severe","Otherization.BY.Oth4.Severe"
"92","Otherization","=~","Oth5","0.548","0.097","0.000","[0.358, 0.738]","0.548***","0.423","0.059","0.000","[0.307, 0.538]","0.423***","2.000","Severe","Otherization.BY.Oth5.Severe"
"93","Otherization","=~","Oth6","0.566","0.106","0.000","[0.358, 0.774]","0.566***","0.393","0.060","0.000","[0.275, 0.511]","0.393***","2.000","Severe","Otherization.BY.Oth6.Severe"
"94","Otherization","=~","Oth7","0.672","0.117","0.000","[0.442, 0.901]","0.672***","0.429","0.058","0.000","[0.315, 0.544]","0.429***","2.000","Severe","Otherization.BY.Oth7.Severe"
"95","Help1","~~","Help1","0.494","0.045","0.000","[0.406, 0.582]","0.494***","0.834","0.050","0.000","[0.736, 0.932]","0.834***","2.000","Severe","Variances.Help1.Severe"
"96","Help2","~~","Help2","0.474","0.048","0.000","[0.379, 0.568]","0.474***","0.694","0.061","0.000","[0.576, 0.813]","0.694***","2.000","Severe","Variances.Help2.Severe"
"97","Help3","~~","Help3","0.536","0.053","0.000","[0.432, 0.640]","0.536***","0.722","0.059","0.000","[0.606, 0.838]","0.722***","2.000","Severe","Variances.Help3.Severe"
"98","Help4","~~","Help4","0.437","0.043","0.000","[0.352, 0.522]","0.437***","0.720","0.059","0.000","[0.604, 0.836]","0.720***","2.000","Severe","Variances.Help4.Severe"
"99","Help5","~~","Help5","0.426","0.050","0.000","[0.328, 0.523]","0.426***","0.588","0.065","0.000","[0.459, 0.716]","0.588***","2.000","Severe","Variances.Help5.Severe"
"100","Min1","~~","Min1","0.522","0.054","0.000","[0.417, 0.627]","0.522***","0.834","0.064","0.000","[0.709, 0.959]","0.834***","2.000","Severe","Variances.Min1.Severe"
"101","Min2","~~","Min2","0.481","0.055","0.000","[0.373, 0.589]","0.481***","0.778","0.075","0.000","[0.631, 0.924]","0.778***","2.000","Severe","Variances.Min2.Severe"
"102","Min3","~~","Min3","0.477","0.063","0.000","[0.355, 0.600]","0.477***","0.722","0.085","0.000","[0.554, 0.889]","0.722***","2.000","Severe","Variances.Min3.Severe"
"103","Per1","~~","Per1","0.527","0.055","0.000","[0.420, 0.634]","0.527***","0.688","0.062","0.000","[0.567, 0.810]","0.688***","2.000","Severe","Variances.Per1.Severe"
"104","Per2","~~","Per2","0.455","0.046","0.000","[0.364, 0.545]","0.455***","0.704","0.061","0.000","[0.585, 0.823]","0.704***","2.000","Severe","Variances.Per2.Severe"
"105","Per3","~~","Per3","0.361","0.048","0.000","[0.267, 0.456]","0.361***","0.528","0.070","0.000","[0.391, 0.665]","0.528***","2.000","Severe","Variances.Per3.Severe"
"106","Per4","~~","Per4","0.523","0.048","0.000","[0.430, 0.616]","0.523***","0.837","0.050","0.000","[0.740, 0.935]","0.837***","2.000","Severe","Variances.Per4.Severe"
"107","Per5","~~","Per5","0.722","0.064","0.000","[0.596, 0.847]","0.722***","0.878","0.045","0.000","[0.791, 0.966]","0.878***","2.000","Severe","Variances.Per5.Severe"
"108","Oth1","~~","Oth1","0.467","0.050","0.000","[0.370, 0.564]","0.467***","0.614","0.061","0.000","[0.495, 0.733]","0.614***","2.000","Severe","Variances.Oth1.Severe"
"109","Oth2","~~","Oth2","0.397","0.040","0.000","[0.318, 0.475]","0.397***","0.666","0.059","0.000","[0.550, 0.782]","0.666***","2.000","Severe","Variances.Oth2.Severe"
"110","Oth3","~~","Oth3","0.480","0.046","0.000","[0.389, 0.571]","0.480***","0.715","0.057","0.000","[0.603, 0.827]","0.715***","2.000","Severe","Variances.Oth3.Severe"
"111","Oth4","~~","Oth4","0.575","0.055","0.000","[0.467, 0.682]","0.575***","0.736","0.056","0.000","[0.626, 0.846]","0.736***","2.000","Severe","Variances.Oth4.Severe"
"112","Oth5","~~","Oth5","0.406","0.037","0.000","[0.334, 0.478]","0.406***","0.821","0.050","0.000","[0.724, 0.919]","0.821***","2.000","Severe","Variances.Oth5.Severe"
"113","Oth6","~~","Oth6","0.516","0.046","0.000","[0.426, 0.606]","0.516***","0.846","0.047","0.000","[0.753, 0.938]","0.846***","2.000","Severe","Variances.Oth6.Severe"
"114","Oth7","~~","Oth7","0.587","0.053","0.000","[0.483, 0.691]","0.587***","0.816","0.050","0.000","[0.717, 0.914]","0.816***","2.000","Severe","Variances.Oth7.Severe"
"115","Helplessness","~~","Helplessness","0.099","0.033","0.002","[0.035, 0.162]","0.099**","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","Severe","Variances.Helplessness.Severe"
"116","Minimization","~~","Minimization","0.104","0.042","0.014","[0.021, 0.187]","0.104*","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","Severe","Variances.Minimization.Severe"
"117","DenialPersonhood","~~","DenialPersonhood","0.238","0.056","0.000","[0.128, 0.349]","0.238***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","Severe","Variances.DenialPersonhood.Severe"
"118","Otherization","~~","Otherization","0.294","0.059","0.000","[0.178, 0.409]","0.294***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","Severe","Variances.Otherization.Severe"
"119","Helplessness","~~","Minimization","0.026","0.012","0.036","[0.002, 0.051]","0.026*","0.259","0.103","0.012","[0.058, 0.461]","0.259*","2.000","Severe","Helplessness.WITH.Minimization.Severe"
"120","Helplessness","~~","DenialPersonhood","0.083","0.021","0.000","[0.042, 0.124]","0.083***","0.543","0.072","0.000","[0.402, 0.685]","0.543***","2.000","Severe","Helplessness.WITH.DenialPersonhood.Severe"
"121","Helplessness","~~","Otherization","0.091","0.022","0.000","[0.048, 0.134]","0.091***","0.535","0.070","0.000","[0.398, 0.672]","0.535***","2.000","Severe","Helplessness.WITH.Otherization.Severe"
"122","Minimization","~~","DenialPersonhood","0.047","0.020","0.016","[0.009, 0.085]","0.047*","0.299","0.102","0.003","[0.099, 0.499]","0.299**","2.000","Severe","Minimization.WITH.DenialPersonhood.Severe"
"123","Minimization","~~","Otherization","0.091","0.026","0.001","[0.040, 0.143]","0.091***","0.522","0.092","0.000","[0.341, 0.703]","0.522***","2.000","Severe","Minimization.WITH.Otherization.Severe"
"124","DenialPersonhood","~~","Otherization","0.126","0.029","0.000","[0.069, 0.182]","0.126***","0.476","0.073","0.000","[0.332, 0.619]","0.476***","2.000","Severe","DenialPersonhood.WITH.Otherization.Severe"
"125","Help1","~1","","2.411","0.046","0.000","[2.321, 2.500]","2.411***","3.131","0.144","0.000","[2.849, 3.413]","3.131***","2.000","Severe","Means.Help1.Severe"
"126","Help2","~1","","3.140","0.049","0.000","[3.044, 3.236]","3.140***","3.802","0.170","0.000","[3.469, 4.136]","3.802***","2.000","Severe","Means.Help2.Severe"
"127","Help3","~1","","2.733","0.051","0.000","[2.633, 2.833]","2.733***","3.171","0.145","0.000","[2.886, 3.456]","3.171***","2.000","Severe","Means.Help3.Severe"
"128","Help4","~1","","2.996","0.046","0.000","[2.906, 3.087]","2.996***","3.846","0.172","0.000","[3.510, 4.182]","3.846***","2.000","Severe","Means.Help4.Severe"
"129","Help5","~1","","2.860","0.050","0.000","[2.761, 2.958]","2.860***","3.360","0.153","0.000","[3.061, 3.660]","3.360***","2.000","Severe","Means.Help5.Severe"
"130","Min1","~1","","2.712","0.047","0.000","[2.620, 2.804]","2.712***","3.428","0.155","0.000","[3.124, 3.733]","3.428***","2.000","Severe","Means.Min1.Severe"
"131","Min2","~1","","2.677","0.047","0.000","[2.586, 2.769]","2.677***","3.404","0.154","0.000","[3.101, 3.706]","3.404***","2.000","Severe","Means.Min2.Severe"
"132","Min3","~1","","2.849","0.048","0.000","[2.755, 2.944]","2.849***","3.503","0.158","0.000","[3.193, 3.813]","3.503***","2.000","Severe","Means.Min3.Severe"
"133","Per1","~1","","2.698","0.052","0.000","[2.597, 2.800]","2.698***","3.085","0.142","0.000","[2.806, 3.363]","3.085***","2.000","Severe","Means.Per1.Severe"
"134","Per2","~1","","2.660","0.048","0.000","[2.566, 2.753]","2.660***","3.310","0.151","0.000","[3.015, 3.606]","3.310***","2.000","Severe","Means.Per2.Severe"
"135","Per3","~1","","3.133","0.049","0.000","[3.037, 3.229]","3.133***","3.789","0.169","0.000","[3.457, 4.121]","3.789***","2.000","Severe","Means.Per3.Severe"
"136","Per4","~1","","2.986","0.047","0.000","[2.894, 3.078]","2.986***","3.779","0.169","0.000","[3.448, 4.110]","3.779***","2.000","Severe","Means.Per4.Severe"
"137","Per5","~1","","2.730","0.054","0.000","[2.625, 2.835]","2.730***","3.011","0.139","0.000","[2.738, 3.285]","3.011***","2.000","Severe","Means.Per5.Severe"
"138","Oth1","~1","","3.025","0.052","0.000","[2.923, 3.126]","3.025***","3.468","0.157","0.000","[3.160, 3.775]","3.468***","2.000","Severe","Means.Oth1.Severe"
"139","Oth2","~1","","3.021","0.046","0.000","[2.931, 3.111]","3.021***","3.913","0.174","0.000","[3.571, 4.255]","3.913***","2.000","Severe","Means.Oth2.Severe"
"140","Oth3","~1","","2.667","0.049","0.000","[2.572, 2.762]","2.667***","3.255","0.149","0.000","[2.963, 3.546]","3.255***","2.000","Severe","Means.Oth3.Severe"
"141","Oth4","~1","","2.818","0.052","0.000","[2.715, 2.920]","2.818***","3.189","0.146","0.000","[2.902, 3.475]","3.189***","2.000","Severe","Means.Oth4.Severe"
"142","Oth5","~1","","2.867","0.042","0.000","[2.785, 2.948]","2.867***","4.077","0.181","0.000","[3.722, 4.431]","4.077***","2.000","Severe","Means.Oth5.Severe"
"143","Oth6","~1","","2.842","0.046","0.000","[2.751, 2.933]","2.842***","3.638","0.164","0.000","[3.318, 3.959]","3.638***","2.000","Severe","Means.Oth6.Severe"
"144","Oth7","~1","","2.481","0.050","0.000","[2.382, 2.579]","2.481***","2.924","0.136","0.000","[2.657, 3.191]","2.924***","2.000","Severe","Means.Oth7.Severe"
"145","Helplessness","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","2.000","Severe","Means.Helplessness.Severe"
"146","Minimization","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","2.000","Severe","Means.Minimization.Severe"
"147","DenialPersonhood","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","2.000","Severe","Means.DenialPersonhood.Severe"
