"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label"
"71","Helplessness","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","Mild","Means.Helplessness.Mild",""
"72","Minimization","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","Mild","Means.Minimization.Mild",""
"73","DenialPersonhood","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","Mild","Means.DenialPersonhood.Mild",""
"74","Otherization","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","Mild","Means.Otherization.Mild",""
"75","Helplessness","=~","Help1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.455","0.034","0.000","[0.389, 0.521]","0.455***","2.000","Severe","Helplessness.BY.Help1.Severe",""
"76","Helplessness","=~","Help2","1.383","0.107","0.000","[1.173, 1.593]","1.383***","0.579","0.033","0.000","[0.515, 0.643]","0.579***","2.000","Severe","Helplessness.BY.Help2.Severe",".p2."
"77","Helplessness","=~","Help3","1.212","0.102","0.000","[1.011, 1.413]","1.212***","0.489","0.034","0.000","[0.424, 0.555]","0.489***","2.000","Severe","Helplessness.BY.Help3.Severe",".p3."
"78","Helplessness","=~","Help4","1.299","0.105","0.000","[1.093, 1.504]","1.299***","0.533","0.033","0.000","[0.468, 0.598]","0.533***","2.000","Severe","Helplessness.BY.Help4.Severe",".p4."
"79","Helplessness","=~","Help5","1.477","0.113","0.000","[1.255, 1.699]","1.477***","0.593","0.032","0.000","[0.529, 0.656]","0.593***","2.000","Severe","Helplessness.BY.Help5.Severe",".p5."
"80","Minimization","=~","Min1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.508","0.055","0.000","[0.400, 0.616]","0.508***","2.000","Severe","Minimization.BY.Min1.Severe",""
"81","Minimization","=~","Min2","0.841","0.119","0.000","[0.607, 1.075]","0.841***","0.429","0.052","0.000","[0.328, 0.530]","0.429***","2.000","Severe","Minimization.BY.Min2.Severe",".p7."
"82","Minimization","=~","Min3","0.738","0.110","0.000","[0.523, 0.954]","0.738***","0.381","0.050","0.000","[0.283, 0.479]","0.381***","2.000","Severe","Minimization.BY.Min3.Severe",".p8."
"83","DenialPersonhood","=~","Per1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.544","0.033","0.000","[0.479, 0.610]","0.544***","2.000","Severe","DenialPersonhood.BY.Per1.Severe",""
"84","DenialPersonhood","=~","Per2","1.030","0.072","0.000","[0.888, 1.172]","1.030***","0.623","0.032","0.000","[0.560, 0.685]","0.623***","2.000","Severe","DenialPersonhood.BY.Per2.Severe",".p10."
"85","DenialPersonhood","=~","Per3","1.033","0.073","0.000","[0.890, 1.177]","1.033***","0.614","0.032","0.000","[0.551, 0.677]","0.614***","2.000","Severe","DenialPersonhood.BY.Per3.Severe",".p11."
"86","DenialPersonhood","=~","Per4","0.819","0.068","0.000","[0.685, 0.952]","0.819***","0.481","0.034","0.000","[0.414, 0.549]","0.481***","2.000","Severe","DenialPersonhood.BY.Per4.Severe",".p12."
"87","DenialPersonhood","=~","Per5","0.790","0.071","0.000","[0.650, 0.930]","0.790***","0.429","0.035","0.000","[0.361, 0.497]","0.429***","2.000","Severe","DenialPersonhood.BY.Per5.Severe",".p13."
"88","Otherization","=~","Oth1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.600","0.033","0.000","[0.536, 0.665]","0.600***","2.000","Severe","Otherization.BY.Oth1.Severe",""
"89","Otherization","=~","Oth2","0.876","0.067","0.000","[0.745, 1.007]","0.876***","0.555","0.034","0.000","[0.488, 0.621]","0.555***","2.000","Severe","Otherization.BY.Oth2.Severe",".p15."
"90","Otherization","=~","Oth3","0.953","0.070","0.000","[0.816, 1.090]","0.953***","0.587","0.033","0.000","[0.522, 0.653]","0.587***","2.000","Severe","Otherization.BY.Oth3.Severe",".p16."
"91","Otherization","=~","Oth4","0.801","0.070","0.000","[0.664, 0.938]","0.801***","0.464","0.035","0.000","[0.394, 0.533]","0.464***","2.000","Severe","Otherization.BY.Oth4.Severe",".p17."
"92","Otherization","=~","Oth5","0.620","0.059","0.000","[0.505, 0.735]","0.620***","0.421","0.036","0.000","[0.350, 0.491]","0.421***","2.000","Severe","Otherization.BY.Oth5.Severe",".p18."
"93","Otherization","=~","Oth6","0.573","0.060","0.000","[0.454, 0.691]","0.573***","0.371","0.036","0.000","[0.300, 0.442]","0.371***","2.000","Severe","Otherization.BY.Oth6.Severe",".p19."
"94","Otherization","=~","Oth7","0.619","0.063","0.000","[0.497, 0.742]","0.619***","0.388","0.036","0.000","[0.318, 0.459]","0.388***","2.000","Severe","Otherization.BY.Oth7.Severe",".p20."
"95","Help1","~~","Help1","0.447","0.024","0.000","[0.400, 0.494]","0.447***","0.793","0.031","0.000","[0.733, 0.853]","0.793***","2.000","Severe","Variances.Help1.Severe",".p21."
"96","Help2","~~","Help2","0.443","0.026","0.000","[0.392, 0.494]","0.443***","0.665","0.038","0.000","[0.591, 0.739]","0.665***","2.000","Severe","Variances.Help2.Severe",".p22."
"97","Help3","~~","Help3","0.545","0.030","0.000","[0.486, 0.603]","0.545***","0.761","0.033","0.000","[0.696, 0.825]","0.761***","2.000","Severe","Variances.Help3.Severe",".p23."
"98","Help4","~~","Help4","0.496","0.028","0.000","[0.441, 0.551]","0.496***","0.716","0.035","0.000","[0.646, 0.785]","0.716***","2.000","Severe","Variances.Help4.Severe",".p24."
"99","Help5","~~","Help5","0.471","0.028","0.000","[0.416, 0.526]","0.471***","0.649","0.039","0.000","[0.573, 0.724]","0.649***","2.000","Severe","Variances.Help5.Severe",".p25."
"100","Min1","~~","Min1","0.486","0.037","0.000","[0.414, 0.558]","0.486***","0.742","0.056","0.000","[0.633, 0.852]","0.742***","2.000","Severe","Variances.Min1.Severe",".p26."
"101","Min2","~~","Min2","0.529","0.033","0.000","[0.463, 0.594]","0.529***","0.816","0.044","0.000","[0.729, 0.903]","0.816***","2.000","Severe","Variances.Min2.Severe",".p27."
"102","Min3","~~","Min3","0.542","0.032","0.000","[0.480, 0.605]","0.542***","0.855","0.038","0.000","[0.780, 0.930]","0.855***","2.000","Severe","Variances.Min3.Severe",".p28."
"103","Per1","~~","Per1","0.528","0.030","0.000","[0.469, 0.586]","0.528***","0.704","0.036","0.000","[0.633, 0.775]","0.704***","2.000","Severe","Variances.Per1.Severe",".p29."
"104","Per2","~~","Per2","0.372","0.023","0.000","[0.327, 0.416]","0.372***","0.612","0.040","0.000","[0.534, 0.690]","0.612***","2.000","Severe","Variances.Per2.Severe",".p30."
"105","Per3","~~","Per3","0.391","0.024","0.000","[0.345, 0.437]","0.391***","0.623","0.039","0.000","[0.545, 0.700]","0.623***","2.000","Severe","Variances.Per3.Severe",".p31."
"106","Per4","~~","Per4","0.493","0.027","0.000","[0.441, 0.545]","0.493***","0.768","0.033","0.000","[0.704, 0.833]","0.768***","2.000","Severe","Variances.Per4.Severe",".p32."
"107","Per5","~~","Per5","0.615","0.032","0.000","[0.552, 0.678]","0.615***","0.816","0.030","0.000","[0.758, 0.874]","0.816***","2.000","Severe","Variances.Per5.Severe",".p33."
"108","Oth1","~~","Oth1","0.468","0.028","0.000","[0.413, 0.523]","0.468***","0.639","0.040","0.000","[0.562, 0.717]","0.639***","2.000","Severe","Variances.Oth1.Severe",".p34."
"109","Oth2","~~","Oth2","0.456","0.026","0.000","[0.405, 0.507]","0.456***","0.692","0.038","0.000","[0.618, 0.766]","0.692***","2.000","Severe","Variances.Oth2.Severe",".p35."
"110","Oth3","~~","Oth3","0.455","0.027","0.000","[0.403, 0.508]","0.455***","0.655","0.039","0.000","[0.578, 0.732]","0.655***","2.000","Severe","Variances.Oth3.Severe",".p36."
"111","Oth4","~~","Oth4","0.618","0.033","0.000","[0.553, 0.683]","0.618***","0.785","0.033","0.000","[0.720, 0.849]","0.785***","2.000","Severe","Variances.Oth4.Severe",".p37."
"112","Oth5","~~","Oth5","0.472","0.025","0.000","[0.423, 0.520]","0.472***","0.823","0.030","0.000","[0.764, 0.882]","0.823***","2.000","Severe","Variances.Oth5.Severe",".p38."
"113","Oth6","~~","Oth6","0.544","0.028","0.000","[0.489, 0.598]","0.544***","0.863","0.027","0.000","[0.810, 0.915]","0.863***","2.000","Severe","Variances.Oth6.Severe",".p39."
"114","Oth7","~~","Oth7","0.570","0.030","0.000","[0.512, 0.629]","0.570***","0.849","0.028","0.000","[0.794, 0.904]","0.849***","2.000","Severe","Variances.Oth7.Severe",".p40."
"115","Helplessness","~~","Helplessness","0.117","0.020","0.000","[0.078, 0.156]","0.117***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","Severe","Variances.Helplessness.Severe",""
"116","Minimization","~~","Minimization","0.169","0.042","0.000","[0.086, 0.251]","0.169***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","Severe","Variances.Minimization.Severe",""
"117","DenialPersonhood","~~","DenialPersonhood","0.222","0.035","0.000","[0.154, 0.290]","0.222***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","Severe","Variances.DenialPersonhood.Severe",""
"118","Otherization","~~","Otherization","0.264","0.039","0.000","[0.187, 0.341]","0.264***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","Severe","Variances.Otherization.Severe",""
"119","Helplessness","~~","Minimization","0.036","0.016","0.026","[0.004, 0.067]","0.036*","0.255","0.108","0.019","[0.043, 0.467]","0.255*","2.000","Severe","Helplessness.WITH.Minimization.Severe",""
"120","Helplessness","~~","DenialPersonhood","0.090","0.017","0.000","[0.057, 0.122]","0.090***","0.558","0.071","0.000","[0.419, 0.697]","0.558***","2.000","Severe","Helplessness.WITH.DenialPersonhood.Severe",""
"121","Helplessness","~~","Otherization","0.093","0.018","0.000","[0.058, 0.127]","0.093***","0.527","0.072","0.000","[0.387, 0.667]","0.527***","2.000","Severe","Helplessness.WITH.Otherization.Severe",""
"122","Minimization","~~","DenialPersonhood","0.060","0.022","0.007","[0.016, 0.103]","0.060**","0.308","0.106","0.004","[0.101, 0.515]","0.308**","2.000","Severe","Minimization.WITH.DenialPersonhood.Severe",""
"123","Minimization","~~","Otherization","0.115","0.026","0.000","[0.065, 0.165]","0.115***","0.543","0.097","0.000","[0.353, 0.733]","0.543***","2.000","Severe","Minimization.WITH.Otherization.Severe",""
"124","DenialPersonhood","~~","Otherization","0.113","0.023","0.000","[0.068, 0.158]","0.113***","0.466","0.074","0.000","[0.321, 0.610]","0.466***","2.000","Severe","DenialPersonhood.WITH.Otherization.Severe",""
"125","Help1","~1","","1.943","0.030","0.000","[1.885, 2.001]","1.943***","2.587","0.081","0.000","[2.428, 2.746]","2.587***","2.000","Severe","Means.Help1.Severe",".p51."
"126","Help2","~1","","2.400","0.033","0.000","[2.336, 2.464]","2.400***","2.940","0.097","0.000","[2.749, 3.130]","2.940***","2.000","Severe","Means.Help2.Severe",".p52."
"127","Help3","~1","","2.119","0.034","0.000","[2.053, 2.185]","2.119***","2.503","0.081","0.000","[2.345, 2.662]","2.503***","2.000","Severe","Means.Help3.Severe",".p53."
"128","Help4","~1","","2.252","0.033","0.000","[2.187, 2.317]","2.252***","2.705","0.088","0.000","[2.533, 2.877]","2.705***","2.000","Severe","Means.Help4.Severe",".p54."
"129","Help5","~1","","2.037","0.034","0.000","[1.970, 2.104]","2.037***","2.390","0.084","0.000","[2.226, 2.555]","2.390***","2.000","Severe","Means.Help5.Severe",".p55."
"130","Min1","~1","","2.394","0.033","0.000","[2.328, 2.459]","2.394***","2.959","0.104","0.000","[2.755, 3.162]","2.959***","2.000","Severe","Means.Min1.Severe",".p56."
"131","Min2","~1","","2.361","0.032","0.000","[2.298, 2.425]","2.361***","2.934","0.094","0.000","[2.750, 3.117]","2.934***","2.000","Severe","Means.Min2.Severe",".p57."
"132","Min3","~1","","2.622","0.031","0.000","[2.560, 2.683]","2.622***","3.292","0.098","0.000","[3.099, 3.485]","3.292***","2.000","Severe","Means.Min3.Severe",".p58."
"133","Per1","~1","","2.088","0.034","0.000","[2.022, 2.154]","2.088***","2.412","0.081","0.000","[2.253, 2.571]","2.412***","2.000","Severe","Means.Per1.Severe",".p59."
"134","Per2","~1","","2.084","0.031","0.000","[2.024, 2.145]","2.084***","2.674","0.093","0.000","[2.491, 2.858]","2.674***","2.000","Severe","Means.Per2.Severe",".p60."
"135","Per3","~1","","2.537","0.031","0.000","[2.476, 2.599]","2.537***","3.202","0.107","0.000","[2.992, 3.413]","3.202***","2.000","Severe","Means.Per3.Severe",".p61."
"136","Per4","~1","","2.419","0.031","0.000","[2.358, 2.480]","2.419***","3.020","0.093","0.000","[2.839, 3.201]","3.020***","2.000","Severe","Means.Per4.Severe",".p62."
"137","Per5","~1","","2.183","0.034","0.000","[2.117, 2.249]","2.183***","2.515","0.079","0.000","[2.361, 2.669]","2.515***","2.000","Severe","Means.Per5.Severe",".p63."
"138","Oth1","~1","","2.628","0.034","0.000","[2.562, 2.694]","2.628***","3.071","0.102","0.000","[2.871, 3.271]","3.071***","2.000","Severe","Means.Oth1.Severe",".p64."
"139","Oth2","~1","","2.617","0.032","0.000","[2.555, 2.679]","2.617***","3.225","0.102","0.000","[3.025, 3.425]","3.225***","2.000","Severe","Means.Oth2.Severe",".p65."
"140","Oth3","~1","","2.147","0.033","0.000","[2.083, 2.211]","2.147***","2.575","0.088","0.000","[2.403, 2.746]","2.575***","2.000","Severe","Means.Oth3.Severe",".p66."
"141","Oth4","~1","","2.415","0.034","0.000","[2.348, 2.481]","2.415***","2.721","0.084","0.000","[2.555, 2.886]","2.721***","2.000","Severe","Means.Oth4.Severe",".p67."
"142","Oth5","~1","","2.516","0.029","0.000","[2.459, 2.572]","2.516***","3.323","0.097","0.000","[3.134, 3.512]","3.323***","2.000","Severe","Means.Oth5.Severe",".p68."
"143","Oth6","~1","","2.601","0.030","0.000","[2.543, 2.660]","2.601***","3.277","0.094","0.000","[3.094, 3.461]","3.277***","2.000","Severe","Means.Oth6.Severe",".p69."
"144","Oth7","~1","","2.130","0.031","0.000","[2.070, 2.191]","2.130***","2.599","0.079","0.000","[2.445, 2.754]","2.599***","2.000","Severe","Means.Oth7.Severe",".p70."
"145","Helplessness","~1","","0.536","0.043","0.000","[0.450, 0.621]","0.536***","1.567","0.132","0.000","[1.307, 1.827]","1.567***","2.000","Severe","Means.Helplessness.Severe",""
"146","Minimization","~1","","0.333","0.051","0.000","[0.233, 0.434]","0.333***","0.812","0.139","0.000","[0.538, 1.085]","0.812***","2.000","Severe","Means.Minimization.Severe",""
"147","DenialPersonhood","~1","","0.606","0.050","0.000","[0.507, 0.705]","0.606***","1.286","0.117","0.000","[1.056, 1.516]","1.286***","2.000","Severe","Means.DenialPersonhood.Severe",""
"148","Otherization","~1","","0.484","0.049","0.000","[0.387, 0.581]","0.484***","0.942","0.103","0.000","[0.739, 1.144]","0.942***","2.000","Severe","Means.Otherization.Severe",""
